Name of Author,Book Title,Year of Publication,Publisher Name,ISBN
"Dr Priya Satsangi, Dr. S. Karthik, Mr. Riju Varkey Thomas, Dr.R.Ambaliga Bharathi Kavithai",Elements of International Business,2025,REST Publisher,978-81-938763-1-7
"Mr. Rakesh Pathak, Dr. Bhawna Sharma",Strategic Project Leadership -Comprehensive Exploration of Theory and Real -World Cases,2024,Iterative International Publishers.,978-93-57475-235
"Dr.Satuluri Padma, Dr.Brijesh Goswami, Mr.Chennakeshi Ganesh, Dr.Anoop Bheri",Organization Behaviour,2024,Book Rivers Publishers,978-93-5515-851-2
Prof. (Dr.) Bhawna Sharma Padroo,Perspectives & Reflections in Business Dynamics Volume II,2024,Iterative International Publishers,978-93-6252-377-8
Prof. (Dr.) Bhawna Sharma and ABS Team,"Case Studies in Business, Society and Ethics volume 2",2024,Iterative International Publishers,978-93-91276-821.
Dr. Vijay Kumar Thota,Fundamentals for New Entrepreneurs – In the Context of Indian MSMEs,2023,Himalaya Publishing House Pvt. Ltd.,978-93-5596-899-9
Dr. Pushpendu Rakshit,Computer Applications for Business Management,2022,Dreambooks Publication,9.78939E+12
Dr. Pushpendu Rakshit,Export Import Documentation and Procedure,2022,Dreambooks Publication,9.78939E+12
Dr. Pushpendu Rakshit,"The Entrepreneur ,Entrepreneurship Development Practices" ,2022,Dreambooks Publication,9.78939E+12
Dr. Pushpendu Rakshit,International Trade and Business Management (EXIM Business Practices),2022,Dreambooks Publication,9.78939E+12
Team ABS,Perspectives and Reflection in Business Dynamics,2022,Dreambooks Publication,978-93-91276-821.
Team ABS,"Case Studies in Business, Society and Ethics",2022,Dreambooks Publication,978-93-91276-583
Dr. Pushpendu Rakshit,Software Project Management,2022,Dreambooks Publication,978-93-91276-621
Dr. Pushpendu Rakshit,"Building Self Reliant India Convergence of Innovative Practices – II , Conference Proceedings",2022,Dreambooks Publication,978-93-91276-522
Dr. Pushpendu Rakshit,Database Management System,2022,Dreambooks Publication,9.78939E+12
"Dr. Bhawna Sharma, Dr. Vinit Joshi, Dr. Jaymin Shah, Dr. Manoj Babu",Fundamentals of Accounting,2022,Sheth Publications Pvt. Ltd.,978-93-5576-626-7
Dr. Pushpendu Rakshit,Building Self Reliant India Convergence of Innovate Practices Volume I,2021,Dreambooks Publications,978-93-91276-690
Prof. (Dr.) Bhawna Sharma Padroo and ABS team,Business Management Dynamics Amid Pandemic,2021,Dreambook Publishers,978-93-6252-059-3
