Book/Chapter Title,Name of Author/Faculty,Book Title,Year of Publication (Only Year),Publisher Name,ISBN/ISSN Number (Mandatory)
Tourism Policy and Schemes in India and Challenges of India (Content Analysis of Social Aspect),Dr.Satuluri Padma,Futuristic Trends in Social Sciences ,2024,Iterative Intrernational Publishers (IIP),e-ISBN: 978-93-5747-400-9
New Dimensions of Entertainment in the digital Age,Dr.Reshma Nair,Futuristic Trends in Social Sciences ,2024,Iterative Intrernational Publishers (IIP),e - ISBN: 978-93-5747-400-9
Economy$ Business and Society of 21st Century through Turbulent Time,Dr.Reshma Nair,Futuristic Trends in Social Sciences ,2024,Iterative Intrernational Publishers (IIP),e-ISBN: 978-93-5747-400-10
Relevance of Ram for Work Culture in Viksit Bharat@2047,Dr.Satuluri Padma,Maryada Purushottam Shree Ram,2024,Kalindi Prakashan,9788196886455
A Study on Self-service or ATM Usage Trends in Indian Banking Sector ,Dr. Bhawna Sharma,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
Blockchain – Definitions$ Applications and Implications,Dr. Neha Choudhary,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
Green Supply Chain Management and Logistic Facility for Futuristic Business,Dr. Subhendu,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
The Circular Economy: Redefining Sustainability and Resource Management.,Dr. Subhendu,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
Indirect Tax Burden on Middle Class People with Respect to Navi Mumbai ,Dr. Indrayani Uthale,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
An Analytical Study on Consumer Behaviour towards Smartphone Industry with Special Reference to Navi Mumbai.,Dr. Indrayani Uthale,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
A Study on Individual Perception towards Employment Opportunities in India Post Covid-19. ,Dr. Neha Choudhary,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
“A Study on Effect of Lack of Financial Literacy on Investment Decision Making ,Dr. Bhawna Sharma,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
A Critical Assessment of Marketing of Higher Education in India,Dr. Sameer Kulkarni,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
A Critical Review of Literature Regarding Water Management Challenges and Issues of Recent Past,Dr. Bhawna Sharma,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
Revisiting Marketing of Higher Education Services in India: An in-depth Analysis ,Dr. Bhawna Sharma,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
"Optimizing Digital Marketing Strategies for Educational Institutions in Bangalore City: A Comprehensive Study""",Dr. Bhawna Sharma,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
The Marketing--Finance Interface towards Financial Services with special reference to the New Services Provided ,Dr. Jaymin Shah,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
Road Travelling – A Silent Challenge in Coming Days,Dr. Bhawna Sharma,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
Understanding the Change in Physicians’ Attitude And Patients’ Attitude in adoption Rate of Digital Health Technology: India and The United Kingdom,Dr. Bhawna Sharma,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
Bibliometric Analysis of Literatures on Diversification & Digital Strategy Deployed by Payments Bank in India. ,Dr. Bhawna Sharma,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
The Growth of EV In India ,Dr. Bhawna Sharma,Building Self Reliant India Convergence of Innnovative Practices$ Volume II.,2024,IIP Publishers,978-93-91276-821
Optimizing Digital Marketing Strategies for Air tours Holidays Pvt. Ltd+A23:B93,Danish Khan & (Prof.) Dr. Bhawna Sharma,Case Studies in Business$ Society and Ethics Vol. -II ,2024,IIP Publishers,978-93-91276-821
Study of the Challenges & Setbacks Managing A Diverse Community in a Co-working Space,Vidhi Adhia$ Dr. Sameer Kulkarni,Case Studies in Business$ Society and Ethics Vol. -II ,2024,IIP Publishers,978-93-91276-821
Digital Point of Sales Insurance Platform at Ompri Buildcon Private Limited: A Case Study,Divyanshu Kashyap$ Dr. Reshma Nair,Case Studies in Business$ Society and Ethics Vol. -II ,2024,IIP Publishers,978-93-91276-821
The  Role  of  Data-driven  Insights  in  Customer  Acquisition Strategy,Ananya Mali$ Dr. Jaymin Shah,Case Studies in Business$ Society and Ethics Vol. -II ,2024,IIP Publishers,978-93-91276-821
"Transformative Dynamics: Direct Selling Agents (DSAS) Shaping Financial Inclusion and Empowerment""",Prince Gadhiya$ Dr. Neha Choudhary,Case Studies in Business$ Society and Ethics Vol. -II ,2024,IIP Publishers,978-93-91276-821
