Amity Business School ,,,,,,
Faculty Research Publications,,,,,,
,,,,,,
Sr. No.,Publication Title,Name of Author,Name of Journal,Year of Publication,ISSN/ISBN,National/ International
1,The Role Of Training In Employee Engagement In The Telecom Sector Of India,"Mr. Abhinava Tiwari, Dr. Reshma Nair","International Journal of Environmental Science, Vol. 11 No. 20s (2025), ISSN 2649-2656",2025, 2649-2656,International
2,Public Health Impact of Chemical Disasters under Climate Change: A Case Study of India,"Mr. Ganesh Zine, Dr. Bhawna Sharma","International Journal of Research Science & Management, Volume 12, Pg 20-30, ISSN: 2349-5197",2025,2349-5197,International
3,"THE BOTTLED CHOICE: EXPLORING CONSUMER AWARENESS, ATTITUDE, AND SATISFACTION IN THE PACKAGED DRINKING WATER MARKET OF RAIGAD DISTRICT","Mr. Sumit Mukadam, Dr. Bhawna Sharma Padroo","SCIENTIFIC OASIS, Decision Making: Applications in Management and Engineering, Volume 8, Issue 1 (2025), ISSN: 2560-6018, eISSN: 2620-0104",2025,2620-0104,International
4,Chemical Safety in the Age of Climate Change: A Comparative Study of India's Industrial and Environmental Regulations,"Ganesh Shankar Zine, Dr. Bhawna Sharma Padroo","Journal of Computational Analysis and Applications (JoCAAA)- Elsevier Scopus, 1521-1398 (Paper),1572-9206 (Online)",2025,1572-9206,International
5,Impact of Digital Health Technologies and Digital Transactions on Healthcare Practitioner and Patient Behaviour: Perspective from India and the United Kingdom,"Dr. Bhawna Sharma, Dr. Sumita Dave","Special Issue of European Economic Letters (EEL), 2323-5233",2025,2323-5233,International
6,Moderation effect of Free and Paid Home Delivery option on attitude towards online Shopping: An Empirical Study Using PROCESS,Dr. Sameer Kulkarni,"Journal of Engineering and Technology Management, 0923-4748",2025,0923-4748,International
7,The study of Al Marketing Tools used in Indian cosmetio industry and its impact on consumer behavior.,"Jinal Pandya, Dr. Sameer Kulkarni","ABDC- C category  Journal of Informatics Education and Research Center for Research and Management Services, ISSN: 1526-4726",2025,1526-4726,International
8,Emergence And Evolution Of Urban Cooperative Banks In India,"Abhishek Verma, Dr. Neha Choudhary, Dr. Bhawna Sharma","International Journal of Creative Research Thoughts (IJCRT), ISSN: 2320-2882",2025,2320-2882,International
9,Designing Future Ready Campuses for Immersive Tech Driven Learning,"Lt Col Sanjay Singh, VSM (Retd), Dr. Neha Choudhary, Dr. Bhawna Sharma Padroo","International Advanced Research Journal in Science, Engineering and Technology, ISSN (O) 2393-8021, Vol. 12, Issue 5",2025, 2393-8021,International
10,Literature review on use of Generative Artificial Intelligence in compliance-oriented procurement in Indian Public Sector Banks,"Gaurav Mishra, Dr. Neha Choudhary, Dr. Bhawna Sharma Padroo","International Journal of Research and Analytical Reviews (IJRAR), ISSN 2348-1269, Volume 12, Issue 2",2025,2348-1269,International
