 Name of Other Author/s (If any) ,Title of Book ,Year,ISBN,Publisher,,,
"Priyadarshan, P.M., Penna, S., Jain, S.M., Al-Khayri, J.M.",Digital Agriculture,2024,978-3-031-43547-8,Springer Cham,,,
"Variyar PS, P Suprasanna","Peppers - Biological, Health, and Postharvest Perspectives",2024,9.78E+12,Taylor & Francis,,,
"Jameel M. Al-Khayri, Lina M. Alnaddaf, Shri Mohan Jain, Suprasanna Penna","Innovative Methods in Horticultural Crop Improvement-Molecular Tools, Nanotechnology and Artificial Intelligence",2024,978-3-031-61081-3,Springer,,,
"Jameel Al-Khayri, Lina M. Alnaddaf, Shri Mohan Jain, Suprasanna Penna",Innovative Methods in Horticultural Crop Improvement-biosensors,2024,978-3-031-61097-4,Springer,,,
"Deepti Yadav, Abhishek Guldhe, Tukayi Kudanga","Fundamentals of Recombinant Protein Production, Purification and Characterization",2024,9.78E+12,Elsevier,,,
"Jameel M. Al-Khayri, Shri Mohan Jain (editors)",Biodiversity and Genetic Improvement of Herbs and Spices,2025,978-3-031-81840-0,Springer,,,
"Ganesh Chandrakant Nikalje, Apurva Chonde, Sudhakar Srivastava, Penna Suprasanna","Wild Vegetables: Morphology, Phytochemistry and Utility - Part 1",2025,978-981-5313-12-3 ,Bentham,,,
"Suprasanna Penna, Ganesh Chandrakant Nikalje",Harnessing Sesuvium Portulacastrum for Biosaline Agriculture,2025,978-981-96-3306-7,Springer Nature,,,
"Penna Suprasanna, Vinay Kumar, Ashish Kumar Srivastava",Non-Coding RNAs-Molecular Tools for Crop Improvement,2024,978-1-003-36928-8,Taylor & Francis,,,
Dr. Penna Suprasanna,Doubled Haploids: Technological Advances and Role In Crop Improvement,2025,978-981-96-2338-9,Springer,,,
Dr. Penna Suprasanna,Biodiversity and Genetic Improvement of Medicinal and Aromatic Plants I,2025,978-3-031-81845-5,Springer Cham,,,
